consumption,interval_start,interval_end,date,time
0.018,2022-05-27T10:30:00Z,2022-05-27T11:00:00Z,2022-05-27,10:30:00
0.058,2022-05-27T11:00:00Z,2022-05-27T11:30:00Z,2022-05-27,11:00:00
0.018,2022-05-27T11:30:00Z,2022-05-27T12:00:00Z,2022-05-27,11:30:00
0.042,2022-05-27T12:00:00Z,2022-05-27T12:30:00Z,2022-05-27,12:00:00
0.123,2022-05-27T12:30:00Z,2022-05-27T13:00:00Z,2022-05-27,12:30:00
0.349,2022-05-27T13:00:00Z,2022-05-27T13:30:00Z,2022-05-27,13:00:00
0.178,2022-05-27T13:30:00Z,2022-05-27T14:00:00Z,2022-05-27,13:30:00
0.069,2022-05-27T14:00:00Z,2022-05-27T14:30:00Z,2022-05-27,14:00:00
0.045,2022-05-27T14:30:00Z,2022-05-27T15:00:00Z,2022-05-27,14:30:00
0.069,2022-05-27T15:00:00Z,2022-05-27T15:30:00Z,2022-05-27,15:00:00
0.171,2022-05-27T15:30:00Z,2022-05-27T16:00:00Z,2022-05-27,15:30:00
0.063,2022-05-27T16:00:00Z,2022-05-27T16:30:00Z,2022-05-27,16:00:00
0.051,2022-05-27T16:30:00Z,2022-05-27T17:00:00Z,2022-05-27,16:30:00
0.057,2022-05-27T17:00:00Z,2022-05-27T17:30:00Z,2022-05-27,17:00:00
0.076,2022-05-27T17:30:00Z,2022-05-27T18:00:00Z,2022-05-27,17:30:00
0.034,2022-05-27T18:00:00Z,2022-05-27T18:30:00Z,2022-05-27,18:00:00
0.071,2022-05-27T18:30:00Z,2022-05-27T19:00:00Z,2022-05-27,18:30:00
0.049,2022-05-27T19:00:00Z,2022-05-27T19:30:00Z,2022-05-27,19:00:00
0.071,2022-05-27T19:30:00Z,2022-05-27T20:00:00Z,2022-05-27,19:30:00
0.048,2022-05-27T20:00:00Z,2022-05-27T20:30:00Z,2022-05-27,20:00:00
0.065,2022-05-27T20:30:00Z,2022-05-27T21:00:00Z,2022-05-27,20:30:00
0.039,2022-05-27T21:00:00Z,2022-05-27T21:30:00Z,2022-05-27,21:00:00
0.061,2022-05-27T21:30:00Z,2022-05-27T22:00:00Z,2022-05-27,21:30:00
1.057,2022-05-27T22:00:00Z,2022-05-27T22:30:00Z,2022-05-27,22:00:00
1.525,2022-05-27T22:30:00Z,2022-05-27T23:00:00Z,2022-05-27,22:30:00
1.441,2022-05-27T23:00:00Z,2022-05-27T23:30:00Z,2022-05-27,23:00:00
0.04,2022-05-27T23:30:00Z,2022-05-28T00:00:00Z,2022-05-27,23:30:00
0.014,2022-05-28T00:00:00Z,2022-05-28T00:30:00Z,2022-05-28,00:00:00
0.285,2022-05-28T00:30:00Z,2022-05-28T01:00:00Z,2022-05-28,00:30:00
0.015,2022-05-28T01:00:00Z,2022-05-28T01:30:00Z,2022-05-28,01:00:00
